Date,Adj Close,Close,High,Low,Open,Volume
2023-03-31,1059.22,1075.78,1081.5,1040.54,1040.68,28171201
2023-04-03,1059.4,1075.96,1084.06,1068.37,1082.22,10293043
2023-04-05,1056.86,1073.38,1083.6,1065.4,1083.6,16262928
2023-04-06,1063.94,1080.58,1086.37,1069.83,1069.83,18435046
2023-04-10,1056.4,1072.92,1084.71,1071.39,1084.52,12961408
2023-04-11,1061.63,1078.23,1080.37,1072.55,1077.14,10542367
2023-04-12,1066.31,1082.98,1092.74,1075.32,1078.23,18179087
2023-04-13,1070.33,1087.06,1091.82,1080.83,1085.91,12378208
2023-04-17,1075.76,1092.58,1119.11,1084.09,1119.11,17929479
2023-04-18,1063.44,1080.07,1096.99,1073.45,1096.99,10405576
2023-04-19,1068.74,1085.45,1088.17,1076.31,1079.47,12273475
2023-04-20,1066.03,1082.7,1088.68,1076.26,1086.42,7007330
2023-04-21,1067.38,1084.06,1089.6,1078.25,1084.82,7647317
2023-04-24,1071.47,1088.22,1098.78,1083.6,1096.06,12936186
2023-04-25,1079.67,1096.55,1098.65,1084.76,1091.91,9236126
2023-04-26,1073.33,1090.11,1101.18,1086.39,1097.91,8617834
2023-04-27,1080.12,1097.01,1100.22,1090.99,1096.06,9167125
2023-04-28,1099.86,1117.06,1118.63,1099.18,1099.29,15565210
2023-05-02,1109.2,1126.54,1128.74,1120.57,1124.31,12981805
2023-05-03,1099.68,1116.88,1128.37,1113.62,1128.37,7061872
2023-05-04,1112.36,1129.75,1131.99,1114.34,1117.36,8635233
2023-05-05,1109.52,1126.87,1135.91,1124.21,1126.52,8746585
2023-05-08,1123.22,1140.78,1146.2,1127.97,1130.67,9153782
2023-05-09,1126.7,1144.31,1147.66,1136.79,1142.21,6464721
2023-05-10,1134.44,1152.18,1153.68,1145.07,1149.13,10872255
2023-05-11,1127.04,1144.66,1158.13,1142.93,1153.27,10557860
2023-05-12,1128.88,1146.53,1147.93,1133.67,1139.81,6955341
2023-05-15,1131.1,1148.79,1155.85,1141.36,1149.09,6833343
2023-05-16,1115.0,1132.43,1153.56,1130.74,1150.98,8717229
2023-05-17,1108.41,1125.74,1137.6,1120.98,1136.67,8798967
2023-05-18,1106.02,1123.31,1133.91,1120.13,1130.47,10525531
2023-05-19,1109.61,1126.96,1128.81,1116.3,1123.31,8050447
2023-05-22,1115.54,1132.98,1138.06,1122.53,1123.75,7434906
2023-05-23,1115.34,1132.77,1138.98,1131.34,1135.59,6092034
2023-05-24,1108.84,1126.17,1137.14,1123.04,1128.78,8112254
2023-05-25,1108.7,1126.04,1130.21,1115.01,1123.24,11487863
2023-05-26,1138.94,1156.75,1157.9,1131.02,1134.37,12626260
2023-05-29,1145.35,1163.26,1167.59,1157.07,1163.44,10010304
2023-05-30,1145.05,1162.96,1171.15,1160.37,1163.26,11342504
2023-05-31,1122.31,1139.86,1158.3,1135.75,1153.75,27107927
2023-06-01,1119.29,1136.79,1146.78,1134.37,1144.59,14592692
2023-06-02,1115.63,1133.07,1145.83,1131.14,1140.37,15800644
2023-06-05,1125.65,1143.25,1146.25,1134.57,1138.61,10908682
2023-06-06,1126.61,1144.22,1148.07,1136.21,1146.11,7493309
2023-06-07,1135.15,1152.9,1153.75,1141.1,1147.75,10312545
2023-06-08,1135.83,1153.59,1161.53,1149.6,1156.52,12071109
2023-06-09,1127.79,1145.42,1157.7,1143.6,1156.98,5877018
2023-06-12,1128.79,1146.43,1148.77,1137.6,1142.44,6391969
2023-06-13,1145.46,1163.37,1164.57,1147.4,1151.44,11248016
2023-06-14,1159.55,1177.68,1179.13,1161.6,1163.44,13277380
2023-06-15,1159.87,1178.0,1182.62,1170.13,1177.66,11813494
2023-06-16,1171.16,1189.47,1191.78,1181.53,1181.53,24171579
2023-06-19,1159.53,1177.66,1192.52,1173.43,1192.52,6798554
2023-06-20,1161.94,1180.1,1183.29,1169.9,1175.69,6921096
2023-06-21,1165.21,1183.42,1185.99,1175.9,1180.06,6961603
2023-06-22,1152.12,1170.13,1187.58,1168.52,1179.59,7619166
2023-06-23,1142.69,1160.56,1169.16,1159.29,1167.09,6628570
2023-06-26,1133.97,1151.7,1160.86,1148.53,1156.98,12641159
2023-06-27,1134.38,1152.11,1158.13,1147.59,1152.16,9689466
2023-06-28,1149.39,1167.36,1171.22,1152.76,1159.75,11354006
2023-06-30,1158.82,1176.94,1179.89,1169.19,1175.16,11151555
2023-07-03,1188.56,1207.15,1210.05,1179.29,1180.54,12154387
2023-07-04,1176.32,1194.71,1211.44,1187.55,1211.44,8061643
2023-07-05,1174.39,1192.75,1204.05,1188.73,1204.05,10248062
2023-07-06,1199.04,1217.78,1220.41,1188.85,1188.85,19117987
2023-07-07,1196.7,1215.41,1229.87,1212.82,1216.05,13375267
2023-07-10,1242.79,1262.23,1271.89,1234.51,1240.93,33240016
2023-07-11,1256.27,1275.91,1278.35,1263.4,1270.46,20069348
2023-07-12,1257.65,1277.32,1293.12,1274.5,1276.65,18733835
2023-07-13,1246.41,1265.89,1291.74,1263.24,1284.77,14682934
2023-07-14,1245.36,1264.83,1274.15,1257.63,1269.12,15124144
2023-07-17,1270.81,1290.68,1299.15,1258.97,1267.74,22220040
2023-07-18,1281.6,1301.64,1309.48,1288.97,1300.05,25867313
2023-07-19,1291.32,1311.51,1318.04,1290.82,1306.04,39122156
2023-07-20,1289.76,1309.93,1315.47,1290.0,1290.0,38717624
2023-07-21,1249.83,1269.38,1307.45,1261.8,1304.5,30249238
2023-07-24,1224.55,1243.7,1257.47,1234.65,1240.5,23727866
