Open,High,Low,Close,Volume,Body,Range,Upper_Wick,Lower_Wick,Body_Ratio,Upper_Wick_Ratio,Lower_Wick_Ratio,Open_1,High_1,Low_1,Close_1,Body_1,Range_1,Upper_Wick_1,Lower_Wick_1,Body_Ratio_1,Upper_Wick_Ratio_1,Lower_Wick_Ratio_1,Open_2,High_2,Low_2,Close_2,Body_2,Range_2,Upper_Wick_2,Lower_Wick_2,Body_Ratio_2,Upper_Wick_Ratio_2,Lower_Wick_Ratio_2,Trend_Encoded,Market_Control_Encoded,HTF_Bias_Encoded,Trend_Reversal_Encoded,Reversal_Confirmed_Encoded,Hammer,Inverted_Hammer,Doji,Bullish_Engulfing,Bearish_Engulfing,Shooting_Star,Morning_Star,Evening_Star
468.73,473.58,439.34,442.77,44730415,25.96,34.24,4.85,3.43,0.7582,0.1416,0.1002,478.77,484.6,458.63,460.82,17.95,25.97,5.83,2.19,0.6912,0.2245,0.0843,484.85,493.6,459.45,464.34,20.51,34.15,8.75,4.89,0.6006,0.2562,0.1432,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
420.64,442.08,407.88,419.54,61404010,1.1,34.2,21.44,11.66,0.0322,0.6269,0.3409,468.73,473.58,439.34,442.77,25.96,34.24,4.85,3.43,0.7582,0.1416,0.1002,478.77,484.6,458.63,460.82,17.95,25.97,5.83,2.19,0.6912,0.2245,0.0843,-1,-1,-1,0,0,0,0,1,0,0,0,0,0
429.51,473.12,425.16,465.37,63360475,35.86,47.96,7.75,4.35,0.7477,0.1616,0.0907,420.64,442.08,407.88,419.54,1.1,34.2,21.44,11.66,0.0322,0.6269,0.3409,468.73,473.58,439.34,442.77,25.96,34.24,4.85,3.43,0.7582,0.1416,0.1002,-1,-1,-1,0,0,0,0,0,0,0,0,1,0
418.86,434.31,400.32,404.16,40670949,14.7,33.99,15.45,3.84,0.4325,0.4545,0.113,429.51,473.12,425.16,465.37,35.86,47.96,7.75,4.35,0.7477,0.1616,0.0907,420.64,442.08,407.88,419.54,1.1,34.2,21.44,11.66,0.0322,0.6269,0.3409,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
425.16,443.45,409.53,431.29,45734887,6.13,33.92,12.16,15.63,0.1807,0.3585,0.4608,418.86,434.31,400.32,404.16,14.7,33.99,15.45,3.84,0.4325,0.4545,0.113,429.51,473.12,425.16,465.37,35.86,47.96,7.75,4.35,0.7477,0.1616,0.0907,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
440.62,526.45,440.37,494.77,73130298,54.15,86.08,31.68,0.25,0.6291,0.368,0.0029,425.16,443.45,409.53,431.29,6.13,33.92,12.16,15.63,0.1807,0.3585,0.4608,418.86,434.31,400.32,404.16,14.7,33.99,15.45,3.84,0.4325,0.4545,0.113,-1,-1,-1,0,0,0,0,0,0,0,0,1,0
500.96,510.61,476.53,487.43,45744488,13.53,34.08,9.65,10.9,0.397,0.2832,0.3198,440.62,526.45,440.37,494.77,54.15,86.08,31.68,0.25,0.6291,0.368,0.0029,425.16,443.45,409.53,431.29,6.13,33.92,12.16,15.63,0.1807,0.3585,0.4608,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
500.6,506.22,478.29,487.16,41657940,13.44,27.93,5.62,8.87,0.4812,0.2012,0.3176,500.96,510.61,476.53,487.43,13.53,34.08,9.65,10.9,0.397,0.2832,0.3198,440.62,526.45,440.37,494.77,54.15,86.08,31.68,0.25,0.6291,0.368,0.0029,-1,-1,-1,0,0,0,0,0,0,0,0,0,1
475.73,491.36,466.31,471.09,30229866,4.64,25.05,15.63,4.78,0.1852,0.624,0.1908,500.6,506.22,478.29,487.16,13.44,27.93,5.62,8.87,0.4812,0.2012,0.3176,500.96,510.61,476.53,487.43,13.53,34.08,9.65,10.9,0.397,0.2832,0.3198,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
490.97,516.51,479.11,509.17,44292810,18.2,37.4,7.34,11.86,0.4866,0.1963,0.3171,475.73,491.36,466.31,471.09,4.64,25.05,15.63,4.78,0.1852,0.624,0.1908,500.6,506.22,478.29,487.16,13.44,27.93,5.62,8.87,0.4812,0.2012,0.3176,-1,-1,-1,0,0,0,0,0,0,0,0,1,0
513.05,514.13,477.83,493.95,41597459,19.1,36.3,1.08,16.12,0.5262,0.0298,0.4441,490.97,516.51,479.11,509.17,18.2,37.4,7.34,11.86,0.4866,0.1963,0.3171,475.73,491.36,466.31,471.09,4.64,25.05,15.63,4.78,0.1852,0.624,0.1908,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
518.63,518.63,482.9,492.57,41367807,26.06,35.73,0.0,9.67,0.7294,0.0,0.2706,513.05,514.13,477.83,493.95,19.1,36.3,1.08,16.12,0.5262,0.0298,0.4441,490.97,516.51,479.11,509.17,18.2,37.4,7.34,11.86,0.4866,0.1963,0.3171,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
503.84,555.0,502.88,551.39,54373624,47.55,52.12,3.61,0.96,0.9123,0.0693,0.0184,518.63,518.63,482.9,492.57,26.06,35.73,0.0,9.67,0.7294,0.0,0.2706,513.05,514.13,477.83,493.95,19.1,36.3,1.08,16.12,0.5262,0.0298,0.4441,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
539.46,561.86,530.31,545.01,49880330,5.55,31.55,16.85,9.15,0.1759,0.5341,0.29,503.84,555.0,502.88,551.39,47.55,52.12,3.61,0.96,0.9123,0.0693,0.0184,518.63,518.63,482.9,492.57,26.06,35.73,0.0,9.67,0.7294,0.0,0.2706,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
555.0,563.59,545.4,557.72,33032857,2.72,18.19,5.87,9.6,0.1495,0.3227,0.5278,539.46,561.86,530.31,545.01,5.55,31.55,16.85,9.15,0.1759,0.5341,0.29,503.84,555.0,502.88,551.39,47.55,52.12,3.61,0.96,0.9123,0.0693,0.0184,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
550.41,555.46,539.46,543.64,23673784,6.77,16.0,5.05,4.18,0.4231,0.3156,0.2612,555.0,563.59,545.4,557.72,2.72,18.19,5.87,9.6,0.1495,0.3227,0.5278,539.46,561.86,530.31,545.01,5.55,31.55,16.85,9.15,0.1759,0.5341,0.29,-1,-1,-1,0,0,0,0,0,0,0,0,0,1
547.25,565.06,522.54,525.67,35321842,21.58,42.52,17.81,3.13,0.5075,0.4189,0.0736,550.41,555.46,539.46,543.64,6.77,16.0,5.05,4.18,0.4231,0.3156,0.2612,555.0,563.59,545.4,557.72,2.72,18.19,5.87,9.6,0.1495,0.3227,0.5278,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
525.67,542.86,523.46,533.99,37455706,8.32,19.4,8.87,2.21,0.4289,0.4572,0.1139,547.25,565.06,522.54,525.67,21.58,42.52,17.81,3.13,0.5075,0.4189,0.0736,550.41,555.46,539.46,543.64,6.77,16.0,5.05,4.18,0.4231,0.3156,0.2612,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
555.91,562.31,545.24,559.57,33269335,3.66,17.07,2.74,10.67,0.2144,0.1605,0.6251,525.67,542.86,523.46,533.99,8.32,19.4,8.87,2.21,0.4289,0.4572,0.1139,547.25,565.06,522.54,525.67,21.58,42.52,17.81,3.13,0.5075,0.4189,0.0736,-1,-1,-1,0,0,1,0,0,0,0,0,1,0
560.49,574.66,549.51,568.62,36030932,8.13,25.15,6.04,10.98,0.3233,0.2402,0.4366,555.91,562.31,545.24,559.57,3.66,17.07,2.74,10.67,0.2144,0.1605,0.6251,525.67,542.86,523.46,533.99,8.32,19.4,8.87,2.21,0.4289,0.4572,0.1139,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
553.17,572.37,532.14,565.67,61371628,12.5,40.23,6.7,21.03,0.3107,0.1665,0.5227,560.49,574.66,549.51,568.62,8.13,25.15,6.04,10.98,0.3233,0.2402,0.4366,555.91,562.31,545.24,559.57,3.66,17.07,2.74,10.67,0.2144,0.1605,0.6251,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
603.46,633.13,594.32,623.39,142683366,19.93,38.81,9.74,9.14,0.5135,0.251,0.2355,553.17,572.37,532.14,565.67,12.5,40.23,6.7,21.03,0.3107,0.1665,0.5227,560.49,574.66,549.51,568.62,8.13,25.15,6.04,10.98,0.3233,0.2402,0.4366,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
625.11,633.56,618.68,626.73,65464502,1.62,14.88,6.83,6.43,0.1089,0.459,0.4321,603.46,633.13,594.32,623.39,19.93,38.81,9.74,9.14,0.5135,0.251,0.2355,553.17,572.37,532.14,565.67,12.5,40.23,6.7,21.03,0.3107,0.1665,0.5227,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
